Country,Total Score and Status,Obstacles to Access,Limits on Content,Violations of User Rights,Total Score
Angola,61 Partly Free,11,29,21,61
Argentina,71 Free,19,27,25,71
Armenia,74 Free,20,28,26,74
Australia,76 Free,23,28,25,76
Azerbaijan,38 Not Free,12,15,11,38
Bahrain,29 Not Free,16,6,7,29
Bangladesh,43 Partly Free,13,18,12,43
Belarus,28 Not Free,12,10,6,28
Brazil,65 Partly Free,20,24,21,65
Cambodia,43 Partly Free,13,18,12,43
Canada,87 Free,23,32,32,87
China,10 Not Free,8,2,0,10
Colombia,64 Partly Free,19,24,21,64
Costa Rica,88 Free,21,34,33,88
Cuba,20 Not Free,4,9,7,20
Ecuador,64 Partly Free,18,24,22,64
Egypt,27 Not Free,13,10,4,27
Estonia,93 Free,25,31,37,93
Ethiopia,27 Not Free,5,13,9,27
France,76 Free,23,29,24,76
Georgia,78 Free,19,31,28,78
Germany,77 Free,23,28,26,77
Ghana,64 Partly Free,14,27,23,64
Hungary,69 Partly Free,22,24,23,69
Iceland,95 Free,25,34,36,95
India,51 Partly Free,13,21,17,51
Indonesia,49 Partly Free,14,17,18,49
Iran,16 Not Free,7,5,4,16
Iraq,42 Partly Free,12,16,14,42
Italy,75 Free,21,29,25,75
Japan,77 Free,22,29,26,77
Jordan,47 Partly Free,14,17,16,47
Kazakhstan,32 Not Free,10,11,11,32
Kenya,68 Partly Free,16,27,25,68
Kyrgyzstan,53 Partly Free,15,22,16,53
Lebanon,51 Partly Free,11,22,18,51
Libya,44 Partly Free,8,21,15,44
Malawi,57 Partly Free,11,25,21,57
Malaysia,59 Partly Free,18,22,19,59
Mexico,61 Partly Free,18,25,18,61
Morocco,51 Partly Free,15,21,15,51
Myanmar,12 Not Free,2,6,4,12
Nicaragua,45 Partly Free,11,17,17,45
Nigeria,57 Partly Free,16,24,17,57
Pakistan,26 Not Free,6,13,7,26
Philippines,65 Partly Free,17,26,22,65
Russia,23 Not Free,11,6,6,23
Rwanda,37 Not Free,13,11,13,37
Saudi Arabia,24 Not Free,12,8,4,24
Serbia,72 Free,22,25,25,72
Singapore,54 Partly Free,19,17,18,54
South Africa,73 Free,18,29,26,73
South Korea,67 Partly Free,22,24,21,67
Sri Lanka,48 Partly Free,9,22,17,48
Sudan,29 Not Free,5,13,11,29
Taiwan,79 Free,24,30,25,79
Thailand,39 Not Free,16,14,9,39
The Gambia,56 Partly Free,12,24,20,56
Tunisia,61 Partly Free,16,26,19,61
Turkey,32 Not Free,14,10,8,32
Uganda,50 Partly Free,12,19,19,50
Ukraine,59 Partly Free,18,21,20,59
United Arab Emirates,28 Not Free,12,9,7,28
United Kingdom,79 Free,24,30,25,79
United States,76 Free,21,30,25,76
Uzbekistan,27 Not Free,9,11,7,27
Venezuela,30 Not Free,7,12,11,30
Vietnam,22 Not Free,12,6,4,22
Zambia,58 Partly Free,15,23,20,58
Zimbabwe,49 Partly Free,8,23,18,49